skill_no,grammar_skills,skill_description,skill_examples
181,"Modals of deduction (past): must have done, might have done, can't have done","Modals of deduction are used when we make guesses or draw conclusions about something that happened in the past. They don’t describe facts directly but show how certain or uncertain we are about our ideas.
- Must have + past participle: We use must have done when we are very sure something happened in the past. It is a logical conclusion based on the evidence we have.

Example: “The ground is wet. It must have rained last night.”
(We are almost certain it rained, even though we didn’t see it.)

- Might have + past participle: We use might have done when we are not sure, but it is possible that something happened in the past.

Example: “She is late. She might have missed the bus.”
(It’s possible, but we don’t know for sure.)

- Can’t have + past participle: We use can’t have done when we are sure something did not happen in the past.

Example: “He was in London yesterday. He can’t have attended the meeting in Delhi.”
(It is impossible that he attended.)","1. The train is delayed again; it must have been stuck near a signal.
2. The shop is closed today; they might have taken a holiday for the festival.
3. He was in Chennai the whole week, so he can’t have attended the conference in Delhi."
182,"Passive of reporting verbs: It is believed that..., He is thought to have...","Reporting verbs like say, believe, think, know, expect, report, and consider can be used in the passive voice to introduce information in a more formal or impersonal way. This structure is common in newspapers, academic writing, and formal reports, where the focus is on the information itself rather than the person who believes or says it.
- Structure: It + passive verb + that-clause: It is said that... / It is believed that...
This form emphasizes the idea without mentioning who thinks or believes it.

Example: It is believed that the new law will reduce pollution.

- Structuree: Subject + passive verb + to-infinitive: He is said to... / They are believed to have...

This form allows the subject of the report (e.g., he, they, the company) to appear at the start of the sentence.

Example: The actor is thought to have bought a house in London.
","1. It is said that the company will launch a new product next month.
2. It is expected that the students will pass the exam with good results.
3. She is thought to be one of the best singers of her generation."
183,Complex verb patterns with gerunds and infinitives: regret to inform / regret telling,"- Learners start to see how the meaning of a verb can change depending on whether it is followed by a gerund (-ing form) or an infinitive (to + verb). One common example is the verb regret.

- Regret + to-infinitive: When we use regret + to + infinitive, it is often used in formal English, especially in letters or official communication. It introduces bad news politely. The action expressed by the infinitive usually happens after the moment of speaking.

Example: We regret to inform you that your application was not successful.
Here, the speaker is about to give bad news.

- Regret + gerund (-ing form): When we use regret + -ing, the speaker looks back at something that happened in the past and feels sorry about it. The action expressed by the gerund happened before the regret.

Example: I regret telling her the secret.
Here, the speaker remembers a past action and feels sorry about it.","1. He regretted not studying harder when he saw the exam results.
2. The principal regrets to say that the school trip will not take place this year.
3. The college regrets to announce that the cultural fest will be postponed."
184,"Participle Clauses: Feeling tired, I went to bed early.","- Participle clauses are a way to join ideas in a sentence more smoothly and avoid repetition. They use the present participle (verb + -ing) or the past participle (usually the third form of the verb). Instead of using full clauses with words like because, after, while, although, or when, we can use a participle clause to make the sentence shorter and more natural.

For example:
Because I was feeling tired, I went to bed early.
can be shortened to:
Feeling tired, I went to bed early.

- Types of participle clauses
- Present participle clauses (verb + -ing):Show an action happening at the same time.
Walking through the park, she saw many children playing.
(This means: While she was walking through the park, she saw many children playing.)

- Past participle clauses (third form of the verb):Often show passive meaning or a completed action.
Built in the 18th century, the house is now a museum.
(This means: The house, which was built in the 18th century, is now a museum.)

- Perfect participle clauses (having + past participle):
Show that one action happened before another.
Having finished his work, he left the office.
(This means: After he had finished his work, he left the office.)","1. Feeling nervous, she waited for her interview to start.
2. Built of stone, the castle has survived for hundreds of years.
3. Having read the book twice, he understood the story better."
185,Inversion with negative adverbials: Never have I seen...,"- Inversion means changing the usual word order of a sentence. Normally, a sentence follows the structure: Subject + Verb. For example: I have never seen such a beautiful sunset.

- However, in more formal English, we can place a negative or restrictive adverbial (such as never, rarely, seldom, hardly, not only, at no time, under no circumstances) at the beginning of the sentence. When we do this, we must invert the subject and the auxiliary verb.

- This structure is used to emphasize the idea and make the sentence more dramatic or formal. It is common in written English, speeches, and storytelling, but less common in everyday spoken English.

- How it works:
Start the sentence with a negative or restrictive adverbial.
Invert the subject and the auxiliary/modal verb.

- Normal word order
I had never heard such music before.

- Inversion:
Never had I heard such music before.

Notice how the auxiliary (had) comes before the subject (I).","1. Never have I seen such a powerful performance.
2. Rarely do we get the chance to experience something so unique.
3. No sooner had she arrived than the meeting began."
186,"Cleft Sentences for emphasis: What I need is..., It was John who...","- We often use cleft sentences to give special emphasis to one part of a sentence. A cleft sentence “divides” a normal sentence into two parts, making the important information stand out.

For example:
Normal sentence: John bought the cake.
Cleft sentence: It was John who bought the cake.

Here, the focus is on John.

- Cleft sentences are useful when:
We want to highlight a particular word or phrase.
We want to contrast information (e.g., not Mary, but John).

We want to make our speaking or writing more dramatic or formal.

- Common structures:
It-cleft sentences (most common):
Structure: It + be + focused element + (that/who) + clause
Example: It was yesterday that I met her.

This highlights yesterday instead of just saying I met her yesterday.

- What-cleft sentences:
Structure: What + clause + be + focused element
Example: What I need is a good rest.

Here, the focus is on a good rest.","1. It was my sister who helped me with the project.
2. What surprised me most was her quick decision.
3.  It was at the railway station that we first met."
187,Ellipsis and substitution: leaving out words to avoid repetition,"- We often avoid repeating the same words by using ellipsis or substitution. These two techniques make speech and writing more natural, concise, and fluent.

- Ellipsis means leaving out words when the meaning is still clear from the context. For example, if two sentences share the same verb or phrase, we don’t need to repeat it.
Example: She likes tennis, and he [likes tennis] too. → She likes tennis, and he does too.

- Substitution means replacing a word or phrase with a shorter word (like do, so, one, ones, not) to avoid repeating the original expression.
Example: I need a pen. Do you have one? (Here, one substitutes a pen).

These techniques are very common in spoken English, but they are also used in writing to keep sentences smooth and avoid sounding awkward or repetitive.

- When do we use ellipsis and substitution?
To avoid repeating the same verb, object, or phrase.
To make conversations more natural.
To connect ideas without writing unnecessarily long sentences.","1. I haven’t finished my project yet, but she has [finished her project]. → Ellipsis.
2. I bought the red shoes, but I prefer the blue ones. → Substitution (ones = shoes).
3. Will you come to the meeting? — I think so. → Substitution (so = I will come)."
188,Relative clauses with prepositions: the man with whom I was speaking,"Relative clauses are used to give extra information about a noun. At the B2 level, learners are expected to use relative clauses with prepositions correctly. This structure is more formal and often used in written English.

A relative clause with a preposition connects the clause to a noun using a prepositional phrase (e.g., to whom, with which, about whom). It is formed with a relative pronoun (whom, which, whose) after the preposition. 
For example: The man with whom I was speaking is my teacher.","1. The woman to whom you gave the book is my aunt.
2. This is the hotel in which we stayed during our trip to Goa.
3. The man with whom she went to the theatre is her cousin."
189,Advanced phrasal verbs and their nuances,"- Many phrasal verbs have multiple meanings. For example, take off can mean “an airplane leaving the ground,” but it can also mean “become successful quickly” or “remove clothing.” Knowing the nuance helps you choose the right meaning in conversation or writing.

- Phrasal verbs can also sound more natural and less formal than single-word verbs. For instance, instead of saying encounter, people often say run into. Recognizing this difference allows you to adapt your language depending on whether you are speaking casually, writing formally, or telling a story","1. The new restaurant really took off after a famous food blogger wrote about it.
2. She finally got over her fear of driving on the highway.
3. When I ran into my old teacher at the mall, we had a long chat."
190,"Discourse Markers and linking words: furthermore, consequently, nevertheless","- Learners are expected to use discourse markers and linking words to organize their ideas more clearly and connect sentences smoothly. These words help in writing and speaking by showing the relationship between ideas. They make communication sound more natural and structured.

- Furthermore is used to add extra information or to strengthen an argument. It is similar to ""in addition"" or ""moreover.""
Example: The city has built new parks. Furthermore, it has improved public transport to reduce traffic.

- Consequently shows the result of something. It connects a cause to its effect. It is similar to ""as a result"" or ""therefore.""
Example: He did not study for the exam. Consequently, he failed the test.

- Nevertheless is used to contrast ideas. It introduces information that seems surprising when compared with the previous sentence. It is similar to ""however"" or ""nonetheless.""
Example: It was raining heavily. Nevertheless, the players continued the match.","1. The project was completed on time. Furthermore, the team managed to stay under budget.

2. She forgot to set her alarm. Consequently, she was late for work.

3. The new policy is strict. Nevertheless, most employees support it."
191,Subjunctive mood: I suggest that he be...,"The subjunctive mood in English is used to express things that are not facts but rather wishes, suggestions, demands, or hypothetical situations.One common use is after verbs such as suggest, recommend, insist, demand, propose, advise, request, ask.
- Structure: I suggest that + subject + base form of the verb
Notice that the verb does not change according to subject or tense. 
For example, we say:I suggest that he be more careful (not he is or he should be).","1. The teacher suggested that every student submit the assignment on time.
2. I recommend that she take extra classes before the exam.
3. The manager insisted that the report be completed by Friday."
192,Unreal uses of past tenses: It's time you went...,"We use past tenses not to talk about the past, but to describe unreal or hypothetical situations. One common structure is with the phrase “It’s time…”

- Structure: It’s time + subject + past tense verb
Meaning: We use this structure to express that something should happen now or very soon, even though the verb is in the past tense. The past tense here does not indicate past time. Instead, it makes the statement more polite or less direct. 
For example, when we say “It’s time you went to bed”, we are not talking about the past. We are politely or firmly saying that the person should go to bed now.","1. It’s time you went home; it’s getting dark outside.
2. Don’t you think it’s about time we started preparing for the exams?
3. I think it’s time you learned how to cook for yourself."
193,"Nouns in apposition: John, my brother, is a doctor.","- Nouns in apposition are two nouns or noun phrases placed next to each other, where the second one gives more information about the first. They usually refer to the same person or thing. The second noun explains, identifies, or describes the first more clearly.

For example:
John, my brother, is a doctor.
Here, John and my brother are the same person. The phrase my brother adds extra information to identify John.","1. Ramesh, the captain of our cricket team, encouraged everyone before the match.
2. My cousin Anjali, a talented singer, performed at the festival.
3. The Taj Mahal, a symbol of love, attracts millions of tourists every year."
194,Possessive 's' with time expressions: a two hours' walk,"- The possessive 's is not only used for showing ownership (e.g., John’s car) but also with time expressions to show that something lasts for a certain period of time or is associated with a particular time.

- When we talk about how long an activity takes, or when something belongs to a specific moment, we often use possessive 's after a plural or singular time word.

- Structure:Number + time word + ’s + noun","1. It was a two hours’ walk to the nearest village.
2. She took a year’s break from work to travel abroad.
3. The project faced three days’ delay because of the storm."
195,"Reciprocal pronouns: each other, one another","- Reciprocal pronouns are used when two or more people or things do the same action to one another. They show a two-way (mutual) relationship. In English, the two main reciprocal pronouns are each other and one another.

- Usage
Each other is most commonly used when referring to two people.
Example: John and Mary love each other.

- One another is often used when referring to more than two people, although in modern English both forms can usually be used interchangeably.
Example: The students helped one another during the project.

- Reciprocal pronouns can act as objects in a sentence, receiving the action.
They greeted each other warmly.","1. The two friends supported each other during difficult times.
2. The three colleagues congratulated one another after finishing the project.
3. The children were playing and chasing each other in the park."
196,Generic pronouns: for common gender,"- Generic pronouns are pronouns we use when we want to talk about people in general, without specifying their gender or identity. Learners should understand that there are gender-neutral ways to talk about people:

- They (singular they):
This is now the most common way to refer to a single person whose gender is unknown or irrelevant.
Example: “If anyone calls, tell them I’ll call back later.”

- You (generic you):
This is used to talk about people in general, not the person you are speaking to.
Example: “In life, you have to work hard to succeed.”

- One (formal):
This is used in more formal or academic English, but it is less common in everyday conversation.
Example: “One should always try to keep an open mind.”

- We (inclusive generic):
Sometimes we is used to mean “people in general,” not just the speaker and listener.
Example: “We never know what the future holds.”","1. If anyone forgets their homework, they can bring it tomorrow.
2. You never know how much you can achieve until you try.
3. One should always treat others with respect."
197,Prepositional phrases with complex nouns,"- A prepositional phrase is a group of words that begins with a preposition (such as in, on, at, of, with, for, by, about) and ends with a noun or pronoun. Learners often use prepositional phrases to expand complex nouns, adding detail, clarity, or precision.

- A complex noun is not just a single noun but a noun with modifiers, such as adjectives, other nouns, or additional phrases. When a prepositional phrase follows a complex noun, it gives extra information about the noun. This makes writing and speaking more academic, descriptive, and formal.","1. She gave a presentation on the impact of social media on teenagers.
2. The discovery of ancient tools in the cave surprised the archaeologists.
3. We discussed the challenges of implementing new technology in rural schools"
198,"Adverbial phrases of time, place, and manner","Adverbial phrases are groups of words that act like adverbs. They give more information about the verb in a sentence, usually describing when, where, or how something happens. Unlike single-word adverbs (e.g., quickly, yesterday), adverbial phrases are made up of two or more words.
- Adverbial Phrases of Time: tell us when an action takes place. They can show exact times, durations, or frequency.They usually go at the beginning or end of the sentence.
Examples: in the morning, at the weekend, for many years, from time to time.

- Adverbial Phrases of Place: tell us where something happens. They can describe direction, distance, or position.They usually come after the verb or the object.
Examples: in the corner of the room, at the bus stop, on the top of the hill, in the middle of nowhere.

- Adverbial Phrases of Manner
These phrases describe how something happens or in what way it is done. They often begin with prepositions like with or in.They usually follow the verb.
Examples: with great care, in a hurry, with enthusiasm, in silence.

- Word Order
When a sentence contains adverbial phrases of time, place, and manner together, English often prefers the order: Manner → Place → Time
Example: She worked hard in the office last night.","1. He finished the project with great dedication. 
2. We will meet at the café near the station.
3. She called me in the middle of the night. 
4. The children played quietly in the park all afternoon."
199,Compound adjectives: a ten-year-old boy,- A compound adjective is an adjective made up of two or more words joined together to describe a noun. These words are often connected with a hyphen (-) to show that they function as a single idea.,"1. The team celebrated a record-breaking victory last night.
2. He gave me a well-written essay to review.
3. We went on a five-day trip to the mountains."
200,"Gradable adjectives with adverbs: completely exhausted, very tired","Adjectives describe the quality of a noun, but not all adjectives work in the same way. At B2 level, it is important to understand the difference between gradable adjectives and non-gradable adjectives, and how to use adverbs correctly with them.

- Gradable adjectives: describe qualities that can vary in degree or intensity. For example: tired, cold, happy, big.
You can be a little tired, quite tired, or very tired.
These adjectives can be made weaker or stronger with adverbs such as very, quite, rather, a bit, extremely.

- Non-gradable adjectives: describe absolute qualities. For example: exhausted, freezing, delighted, tiny.
You cannot normally be “very exhausted,” because exhausted already means completely tired. Instead, you use adverbs like completely, absolutely, totally, utterly, really to emphasize them.","1. I was really surprised by the news.
2. The homework was quite difficult yesterday.
3. She felt extremely proud of her achievement."
201,"Non-gradable adjectives with adverbs: completely exhausted, very tired","Adjectives describe the quality of a noun, but not all adjectives work in the same way. At B2 level, it is important to understand the difference between gradable adjectives and non-gradable adjectives, and how to use adverbs correctly with them.

- Gradable adjectives: describe qualities that can vary in degree or intensity. For example: tired, cold, happy, big.
You can be a little tired, quite tired, or very tired.
These adjectives can be made weaker or stronger with adverbs such as very, quite, rather, a bit, extremely.

- Non-gradable adjectives: describe absolute qualities. For example: exhausted, freezing, delighted, tiny.
You cannot normally be “very exhausted,” because exhausted already means completely tired. Instead, you use adverbs like completely, absolutely, totally, utterly, really to emphasize them.","1. After running the marathon, she was completely exhausted and could barely stand.
2. He felt absolutely furious when he found out someone had scratched his car.
3. The children were totally amazed by the magician’s performance."
202,would' for past habits (vs. 'used to'),"When we want to talk about repeated actions or habits in the past, we can use would or used to. Both are common in English, but they are not always interchangeable.

- Would for repeated past actions
We use would + base verb to describe things we did regularly in the past.It focuses on habits, routines, or repeated behaviors, not on states.

Example: When I was a child, we would visit my grandparents every summer.

- Used to for past habits and states
We use used to + base verb to describe both habits and states that were true in the past but are not true now. It works for repeated actions and situations/conditions.

Example: I used to live in Chennai, but now I live in Bangalore. (a past state) ","1. When we were children, we would play cricket in the street until it was dark.
2. Every morning during the summer holidays, my grandfather would tell us stories after breakfast.
3. In college, my friends and I would go to the canteen almost every day after class."
203,Relative clauses with 'what',"- Relative clauses usually begin with relative pronouns like who, which, or that, and they refer back to a noun mentioned earlier. However, what works differently.

- When we use what to introduce a relative clause, it means “the thing(s) that”. Unlike who or which, what does not need an antecedent (a noun before it). Instead, it introduces both the idea of “the thing” and describes it at the same time.
For example: I like what you said. → what you said = the thing that you said","1. What I admire most about her is her patience.
2. He finally achieved what he had been working for.
3. I don’t understand what went wrong during the meeting."
204,Passive verbs with two objects: I was given a book.,"Some verbs can take two objects: a direct object (the thing) and an indirect object (the person who receives it). For example, in the active voice: My friend gave me a book.

me = indirect object (the receiver)
a book = direct object (the thing)

- When we change this kind of sentence into the passive voice, we have two possible passive forms. This is because either object can become the subject of the passive sentence:

- Focus on the indirect object (the receiver):
I was given a book.
Here, the person (“I”) is the subject.

- Focus on the direct object (the thing):
A book was given to me.
Here, the thing (“a book”) is the subject.

Both sentences are correct, but the focus changes. The first version is more common in spoken English because it emphasizes the person receiving something. The second version is often used when the object itself is important.","1. I was sent an invitation to the wedding.
2. An award was given to her for her excellent performance.
3. We were promised more support from the government."
205,Verbs of the senses: see someone do vs. see someone doing,"We often use verbs of the senses—such as see, hear, notice, feel, watch, listen to—to describe experiences. These verbs can be followed by either:
Bare infinitive (do)
-ing form (doing)

- See someone do (bare infinitive)
Structure: see + object + base verb
Meaning: We saw or experienced the complete action, from beginning to end.It often focuses on the whole fact of the action, not the process.

Example: I saw him cross the street. (I saw the whole action—he started on one side and finished on the other.)

- See someone doing (-ing form)
Structure: see + object + verb-ing
Meaning: We saw the action in progress. It often emphasizes the process or part of the action, not necessarily the beginning or end.

Example: I saw him crossing the street. (I noticed him in the middle of the action, walking across.)","1. I saw her close the window before leaving.
2. We saw the children playing cricket in the park.
3. He heard the teacher call his name during the exam."
206,get' in passive constructions: the window got broken,"- We usually form the passive voice with be + past participle, for example:
The window was broken yesterday.

- However, in informal spoken English, we often use get instead of be in passive sentences. This is called the get-passive.

- Structure: Subject + get + past participle
The window got broken.

- Unexpected or accidental events
The get-passive is often used when something happens suddenly, by accident, or without planning.
My phone got lost at the party.

- Focus on the subject, not the doer
Just like with the be-passive, the focus is on what happened to the subject, not who did it.
The shop got robbed last night. (We don’t say who robbed it.)","1. The window got broken during the football game.
2. She got promoted after two years of hard work.
3. His wallet got stolen while he was on the bus."
207,"Modifying comparatives: significantly better, slightly more expensive","A modifier is a word or phrase that gives more information about another word. When we use modifiers with comparatives, we can show whether the difference is large or small.

- Large difference: significantly, much, far, considerably, a lot
Example: This laptop is significantly faster than my old one.
(The difference in speed is big.)

- Small difference: slightly, a little, a bit, marginally
Example: This phone is slightly more expensive than that one.
(The difference in price is small.)

- We place the modifier before the comparative form:much better, far more exciting, slightly less difficult

- This structure allows speakers to be more precise and accurate in communication. For example, instead of just saying “This book is better”, you can say “This book is much better” or “This book is slightly better”, depending on the situation.","1. This hotel is much cheaper than the one we stayed in last summer.
2. Her English has improved significantly more since she started practicing every day.
3. The train is slightly faster than the bus, but also more expensive."
208,Determiners: 'whole' ,"Both whole and all are determiners that refer to the complete amount of something, but they are used differently in English grammar. 
- Whole: means entire or complete.It is normally used with singular countable nouns.

- Structure: the/my/this + whole + singular noun

- All: also means the complete amount but is more flexible than “whole.”
It can be used with plural countable nouns or uncountable nouns, as well as with some singular nouns.

-Structure: all + plural/uncountable noun
all (of) + determiner/pronoun + noun","1. I read the whole book in one day.
2. She ate the whole cake by herself.
3. We spent the whole morning cleaning the house."
209,Advanced use of articles: philosophical/abstract use,"- Learners begin to notice that articles (a, an, the, or zero article) are not only used for concrete things (like a book, the table) but also for abstract or philosophical ideas. This use can sometimes be confusing, because the same noun may take the, a/an, or no article depending on the meaning or focus.

- Using “the” for universal concepts: When we want to talk about an idea in a general, universal, or unique way, we often use the.
Example: the truth, the meaning of life, the future.
Here, “the” suggests there is one main, shared idea.

- Using “a/an” for one example of an idea
When we want to show one version, perspective, or interpretation of an abstract concept, we use a/an.
Example: a truth, a hope, a beauty.
This suggests it is not the only one, but one among many.

- Zero article (no article) for general concepts
When speaking about ideas in general, without pointing to any particular version, we use no article.
Example: Truth is important, Life is short, Beauty fades.
Here, we mean the concept in its most general sense.

- Philosophical effect of article choice
The choice of article can slightly change the meaning.
Truth is important (general concept).
The truth is important (one specific truth, or truth as a shared idea).
A truth is important (one example of truth, among others).","1. The truth about his actions finally came out in the meeting.
2. A truth that many people forget is that happiness often comes from simple things.
3. Truth is sometimes more difficult to accept than lies."
210,Determiners: 'all',"Both whole and all are determiners that refer to the complete amount of something, but they are used differently in English grammar. 
- Whole: means entire or complete.It is normally used with singular countable nouns.

- Structure: the/my/this + whole + singular noun

- All: also means the complete amount but is more flexible than “whole.”
It can be used with plural countable nouns or uncountable nouns, as well as with some singular nouns.

-Structure: all + plural/uncountable noun
all (of) + determiner/pronoun + noun","1. All students in the class must submit their assignments by Friday.
2. She spent all her savings on starting her own business.
3. All of the evidence suggests that the experiment was a success."
211,Nominal clauses: as subjects ,"A nominal clause is a type of dependent clause that acts like a noun in a sentence. Because nouns can function as subjects and objects, nominal clauses can also take these roles.

- Nominal clauses as subjects
Sometimes the subject of a sentence is not a single word, but a whole clause. These clauses often begin with that, what, whether, or how.

Example: That she passed the exam surprised everyone.
Here, the entire clause That she passed the exam is the subject of the verb surprised.

- Nominal clauses as objects
Nominal clauses are very common as the object of a verb, especially after verbs like know, think, believe, wonder, decide, explain, etc.

Example: I don’t know what he wants.
Here, the clause what he wants is the object of the verb know.

They can also be the object of a preposition:
Example: We talked about what happened yesterday.","1. What she decided to do next surprised everyone in the team.
2. That the company is expanding so quickly is impressive.
3. Whether we can meet the deadline depends on everyone's cooperation.
4. How he managed to solve the problem remains a mystery."
212,Nominal clauses: as objects,"A nominal clause is a type of dependent clause that acts like a noun in a sentence. Because nouns can function as subjects and objects, nominal clauses can also take these roles.

- Nominal clauses as subjects
Sometimes the subject of a sentence is not a single word, but a whole clause. These clauses often begin with that, what, whether, or how.

Example: That she passed the exam surprised everyone.
Here, the entire clause That she passed the exam is the subject of the verb surprised.

- Nominal clauses as objects
Nominal clauses are very common as the object of a verb, especially after verbs like know, think, believe, wonder, decide, explain, etc.

Example: I don’t know what he wants.
Here, the clause what he wants is the object of the verb know.

They can also be the object of a preposition:
Example: We talked about what happened yesterday.","1. I don’t understand why she left the meeting early.
2.  She couldn’t explain what had caused the sudden drop in sales.
3. He admitted that he had made a mistake in the report.
4. The teacher asked me whether I had completed the assignment on time."
213,"Punctuation for complex sentences: colons, semi-colons","- Learners are expected to write more complex sentences that express detailed ideas. Two useful punctuation marks for linking and organizing these ideas are the colon (:) and the semi-colon (;).

- The Colon (:): A colon is used to introduce or explain something. It tells the reader that more information is coming.
You can use it before a list, an explanation, definition, or a summary.
The part before the colon should be a complete sentence.

Example:She has three main hobbies: reading, painting, and cooking.

- The Semi-Colon (;)A semi-colon is used to connect two ideas that are closely related.
It can join two independent sentences without using a conjunction (like and, but). It can also be used in lists when the items are long or already contain commas.

Example:I have a meeting tomorrow; however, I still plan to join the dinner later.","1. I need to buy several things for the trip: a raincoat, a flashlight, and a pair of hiking boots.
2. The teacher gave us only one piece of advice: never stop asking questions.
3. Some students prefer science subjects; others enjoy literature and history more."
214,Formal and informal registers in grammar,"- We use different registers depending on the situation, audience, and purpose. The two most common registers are formal and informal.

- Formal register is used in professional, academic, or official situations. It often avoids contractions, uses complete sentences, and prefers more precise vocabulary. For example, instead of saying “kids”, we say “children”. Instead of “I’m gonna”, we say “I am going to”. Formal grammar avoids slang and phrasal verbs when possible, choosing single-word verbs such as “purchase” instead of “buy”.

- Informal register, on the other hand, is used in casual conversations with friends, family, or people we know well. It often includes contractions (can’t, don’t), slang, phrasal verbs, and shorter sentences. It may also include more personal pronouns and relaxed grammar structures, such as starting sentences with “And” or “But”.

","1. Formal: I am writing to request further information regarding the upcoming conference.
Informal: Can you send me more info about the conference?
2. Formal: She is unable to attend the meeting due to prior commitments.
Informal: She can’t come to the meeting because she’s busy.
3. Formal: We would like to apologize for any inconvenience caused.
Informal: Sorry if we caused you any trouble."
215,"Hypothetical meaning after 'as if', 'as though'","We use as if and as though to compare a real situation with an unreal or imaginary one. This structure is important for expressing impressions, guesses, or judgments that are not literally true.

- Structure: as if / as though + clause
The verb form in the clause shows whether the situation is real or imaginary.

- Present unreal situations: We use the past tense to describe something that is not real in the present.
Example: He talks as if he knew everything. (He does not actually know everything.)

- Past unreal situations: We use the past perfect to describe something that did not really happen in the past.
Example: She looked as though she had seen a ghost. (She didn’t really see one, but she looked frightened.)

- Realistic impressions: Sometimes, we use the present tense after as if / as though when the situation is probably true.
Example: It looks as if it is going to rain. (This is a real possibility, not imaginary.)","1. He speaks as if he were the boss, but he’s just an intern.
2. She acts as though she had never met me before, even though we studied together.
3. It looks as if they are planning a surprise for you."
216,"Verb + object + infinitive/gerund patterns: allow someone to do, advise someone against doing","- Some verbs are followed by an object (a person or thing) and then either an infinitive (to + verb) or a gerund (-ing form). The choice depends on the main verb.

- Verb + Object + Infinitive: Some verbs require the structure verb + object + to + base verb. This pattern shows that the subject causes, allows, or wants someone else to do something.
Common verbs: allow, advise, encourage, remind, persuade, teach, tell, want, warn
Example: The teacher allowed the students to leave early.

- Verb + Object + Gerund: Some verbs require the structure verb + object + gerund (-ing form). This pattern is often used to give advice, warn against actions, or prevent someone from doing something.
Common verbs: advise against, discourage, prevent, stop, forbid
Example: The doctor advised him against eating too much sugar.","1. The manager allowed the team to take a longer lunch break.
2. She advised him against driving in the heavy rain.
3. They persuaded their friend to join the charity event."
217,Complex question tags: for imperatives,"Question tags are short questions added at the end of a sentence to confirm information, check agreement, or encourage a response.Learners are expected to handle complex question tags—especially those used with imperatives (commands) and suggestions.

- Imperatives + question tags: When using imperatives (commands or instructions), question tags are often used to make the request softer, more polite, or to seek agreement.
The most common tag is “will you?” after a positive imperative.
For negative imperatives (commands with don’t), the usual tag is “will you?” or “won’t you?”, depending on the tone.
“Can you?” and “could you?” are also used to make the request sound friendlier.

Example: Close the door, will you? (a polite request, not a strict order).

- Suggestions + question tags: When making a suggestion with let’s, the typical question tag is “shall we?”. This tag checks agreement or invites confirmation from others.

Example: Let’s go for a walk, shall we?","1. Open the window, will you?
2. Don’t be late, won’t you?
3. Pass me the report, can you?"
218,Complex question tags: for suggestions,"Question tags are short questions added at the end of a sentence to confirm information, check agreement, or encourage a response.Learners are expected to handle complex question tags—especially those used with imperatives (commands) and suggestions.

- Imperatives + question tags: When using imperatives (commands or instructions), question tags are often used to make the request softer, more polite, or to seek agreement.
The most common tag is “will you?” after a positive imperative.
For negative imperatives (commands with don’t), the usual tag is “will you?” or “won’t you?”, depending on the tone.
“Can you?” and “could you?” are also used to make the request sound friendlier.

Example: Close the door, will you? (a polite request, not a strict order).

- Suggestions + question tags: When making a suggestion with let’s, the typical question tag is “shall we?”. This tag checks agreement or invites confirmation from others.

Example: Let’s go for a walk, shall we?","1. We could start the meeting earlier, couldn’t we?
2. I should call her before we leave, shouldn’t I?
3. You’d better double-check the report, hadn’t you?"
219,"Conjunctions expressing concession: while, whereas, even though","Conjunctions of concession are used to show contrast between two ideas in the same sentence. They highlight differences, unexpected results, or opposing information.

- While: can express contrast, not only time. When used this way, it introduces an idea that is different from or opposite to another idea in the sentence.
It often appears at the beginning of a sentence or between two clauses.

Example: While the film was exciting, the ending was disappointing.

- Whereas: is formal and is mainly used in written English.
It clearly introduces a contrast between two facts or situations.It is often used in academic writing, reports, or formal discussions.

Example: Whereas city life is fast and stressful, country life is calm and peaceful.

- Even though- is stronger than although or though. it introduces a fact that makes the main idea surprising or unexpected.It can appear at the beginning or in the middle of a sentence.

Example: Even though he studied hard, he didn’t pass the exam.","1. While many people prefer online shopping, others still enjoy going to physical stores.
2. Whereas my brother loves spicy food, I can’t tolerate it at all.
3. The hotel was expensive, even though the service was not very good."
220,have' as an auxiliary vs. main verb,"- The verb have can be used in English in two main ways: as an auxiliary verb (helping verb) and as a main verb (lexical verb).
- Have as an Auxiliary Verb
When have is used as an auxiliary verb, it helps form the perfect tenses (present perfect, past perfect, future perfect).

- Structure: have/has/had + past participle
It does not carry the main meaning of the sentence but shows time and aspect.
Example: She has finished her homework. (The action is completed, and the focus is on the result.)

- In questions and negatives, have also functions as an auxiliary:
Have you seen this film?
I haven’t spoken to him yet.

- Have as a Main Verb
As a main verb, have usually means to own, to possess, or to experience.
Example: They have a new car. (possession)
Example: We had a great time at the party. (experience)

- When have is a main verb, questions and negatives are often formed using do/does/did (not by inverting have):
Do you have a pen? (NOT: Have you a pen? in modern English, except in very formal British usage)
She doesn’t have enough money","1. We had finished dinner before they arrived. (auxiliary)
2. They have a dog and a cat at home. (main verb – possession)
3. I usually have coffee in the morning. (main verb – routine activity)"
